Demo-ResponseID,QType,Condition,Dataset,Attempt,DatasetOrder,TaskOrder,Click_X,Click_Y,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct,Distance,RawDifference,AbsDifference,Percentage,LogError
R_10DwCbnn3mhButQ,Exp,Col,8,1,1,4,338,351,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,3.201833242239677,0,0,0,0
R_10DwCbnn3mhButQ,Training,Col,0,1,0,2,482,360,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,2.1846211214864035,0,0,0,0
R_10ID8KU4OpcM6ji,Exp,Fru,1,1,2,7,406,450,29,Fru_1_193.9_216.1,193.9,216.1,403.9583333333333,450.2083333333333,25,ClickHighDeg,3,FALSE,2.0522683926708085,-4,4,0.13793103448275862,0.6989700043360189
R_10ID8KU4OpcM6ji,Exp,Fru,3,1,3,7,362,369,10,Fru_3_176.3_176.5,176.3,176.5,367.2916666666667,367.7083333333333,10,ClickHighDeg,1,TRUE,5.447030281620356,0,0,0,0
R_10ID8KU4OpcM6ji,Exp,Fru,7,1,1,6,446,396,84,Fru_7_214.7_189.3,214.7,189.3,447.2916666666667,394.375,20,ClickHighDeg,8,FALSE,2.075819784513537,-64,64,0.7619047619047619,1.8129133566428555
R_10ID8KU4OpcM6ji,Training,Fru,0,1,0,2,363,379,6,Fru_0_174.9_183,174.9,183,364.375,381.25,6,ClickHighDeg,1,TRUE,2.6368778887161235,0,0,0,0
R_10IubgweXpWotmV,Exp,Ctrl,1,1,2,6,436,580,29,Ctrl_1_209_276.4,209,276.4,435.4166666666667,575.8333333333334,26,ClickHighDeg,2,FALSE,4.207301853788072,-3,3,0.10344827586206896,0.6020599913279624
R_10IubgweXpWotmV,Exp,Ctrl,7,1,1,6,152,154,84,Ctrl_7_71_73.6,71,73.6,147.91666666666666,153.33333333333334,84,ClickHighDeg,1,TRUE,4.137397195768811,0,0,0,0
R_10IubgweXpWotmV,Exp,Ctrl,9,1,3,6,439,252,34,Ctrl_9_208.7_120.3,208.7,120.3,434.7916666666667,250.625,34,ClickHighDeg,1,TRUE,4.42726715304648,0,0,0,0
R_10IubgweXpWotmV,Training,Ctrl,0,1,0,2,482,362,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,3.711141259025923,0,0,0,0
