filename,Demo-ResponseID,Dataset,DatasetDuration,DatasetStartTime,Stats-Group,DatasetOrder,NetVisExperience
FacultyGrad,R_u2ZAG9wWFqQUpqx,7,196,590,control,2,High
FacultyGrad,R_u2ZAG9wWFqQUpqx,9,296,294,control,1,High
FacultyGrad,R_UDvlF887EZZEta1,0,485,23,openord,0,High
FacultyGrad,R_UDvlF887EZZEta1,7,530,508,openord,1,High
FacultyGrad,R_UDvlF887EZZEta1,9,490,1038,openord,2,High
FacultyGrad,R_uet7UtnWMSL9e93,0,199,20,control,0,High
FacultyGrad,R_uet7UtnWMSL9e93,1,152,219,control,1,High
FacultyGrad,R_uet7UtnWMSL9e93,7,152,539,control,3,High
FacultyGrad,R_uet7UtnWMSL9e93,9,168,371,control,2,High
FacultyGrad,R_UiG2zeo5TIqx7k5,0,184,6,circle,0,High
FacultyGrad,R_UiG2zeo5TIqx7k5,1,25,270,circle,2,High
FacultyGrad,R_UiG2zeo5TIqx7k5,7,80,190,circle,1,High
FacultyGrad,R_UiG2zeo5TIqx7k5,9,20,295,circle,3,High
FacultyGrad,R_UluBDM0dpMGiiKl,0,155,18,openord,0,High
FacultyGrad,R_UluBDM0dpMGiiKl,1,94,173,openord,1,High
FacultyGrad,R_UluBDM0dpMGiiKl,7,119,361,openord,3,High
FacultyGrad,R_UluBDM0dpMGiiKl,9,94,267,openord,2,High
FacultyGrad,R_upL4yCeoqlLiV4R,0,259,44,frucht,0,High
FacultyGrad,R_upL4yCeoqlLiV4R,1,378,303,frucht,1,High
FacultyGrad,R_upL4yCeoqlLiV4R,7,296,988,frucht,3,High
FacultyGrad,R_upL4yCeoqlLiV4R,9,307,681,frucht,2,High
FacultyGrad,R_V4FZf1zyZ9ityed,0,135,47,openord,0,High
FacultyGrad,R_V4FZf1zyZ9ityed,1,107,468,openord,3,High
FacultyGrad,R_V4FZf1zyZ9ityed,7,138,330,openord,2,High
FacultyGrad,R_V4FZf1zyZ9ityed,9,148,182,openord,1,High
FacultyGrad,R_vC8LzRedEEaupvX,0,363,17,circle,0,High
FacultyGrad,R_vC8LzRedEEaupvX,1,227,828,circle,3,High
FacultyGrad,R_vC8LzRedEEaupvX,7,253,380,circle,1,High
FacultyGrad,R_vC8LzRedEEaupvX,9,195,633,circle,2,High
FacultyGrad,R_WBfplhZscHDIcLf,0,376,119,frucht,0,High
FacultyGrad,R_WBfplhZscHDIcLf,1,267,830,frucht,2,High
FacultyGrad,R_WBfplhZscHDIcLf,7,223,1097,frucht,3,High
FacultyGrad,R_WBfplhZscHDIcLf,9,335,495,frucht,1,High
FacultyGrad,R_Y5et5qIwBPCZGX7,0,198,7,openord,0,High
FacultyGrad,R_Y5et5qIwBPCZGX7,1,362,205,openord,1,High
FacultyGrad,R_Y5et5qIwBPCZGX7,7,254,567,openord,2,High
FacultyGrad,R_Y5et5qIwBPCZGX7,9,321,821,openord,3,High
FacultyGrad,R_ZmkjCDj6KzkZsXv,0,142,39,frucht,0,High
FacultyGrad,R_ZmkjCDj6KzkZsXv,1,90,447,frucht,3,High
FacultyGrad,R_ZmkjCDj6KzkZsXv,7,169,181,frucht,1,High
FacultyGrad,R_ZmkjCDj6KzkZsXv,9,97,350,frucht,2,High
