NodeID,Condition,Dataset,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted
Cir_7_101.1_318,Cir,7,101.1,318,210.625,662.5
Cir_7_104.4_319.7,Cir,7,104.4,319.7,217.5,666.0416666666666
Cir_7_15.1_193.7,Cir,7,15.1,193.7,31.458333333333332,403.5416666666667
Cir_7_107.8_321.3,Cir,7,107.8,321.3,224.58333333333334,669.375
Cir_7_111.3_322.8,Cir,7,111.3,322.8,231.875,672.5
Cir_7_15.6_197.4,Cir,7,15.6,197.4,32.5,411.25
Cir_7_118.2_325.6,Cir,7,118.2,325.6,246.25,678.3333333333334
Cir_7_17.6_208.5,Cir,7,17.6,208.5,36.666666666666664,434.375
Cir_7_18.4_212.1,Cir,7,18.4,212.1,38.333333333333336,441.875
Cir_7_34.7_253.8,Cir,7,34.7,253.8,72.29166666666667,528.75
Cir_7_19.3_215.8,Cir,7,19.3,215.8,40.208333333333336,449.5833333333333
Cir_7_21.4_222.9,Cir,7,21.4,222.9,44.583333333333336,464.375
Cir_7_22.5_226.5,Cir,7,22.5,226.5,46.875,471.875
Cir_7_23.8_230,Cir,7,23.8,230,49.583333333333336,479.1666666666667
Cir_7_25.1_233.5,Cir,7,25.1,233.5,52.291666666666664,486.4583333333333
Cir_7_28_109.5,Cir,7,28,109.5,58.333333333333336,228.125
Cir_7_188.1_335.4,Cir,7,188.1,335.4,391.875,698.75
Cir_7_191.8_335.1,Cir,7,191.8,335.1,399.5833333333333,698.125
Cir_7_26.5_237,Cir,7,26.5,237,55.208333333333336,493.75
Cir_7_195.5_334.6,Cir,7,195.5,334.6,407.2916666666667,697.0833333333334
Cir_7_329.7_219.4,Cir,7,329.7,219.4,686.875,457.0833333333333
Cir_7_64.6_57.9,Cir,7,64.6,57.9,134.58333333333334,120.625
Cir_7_61.9_60.5,Cir,7,61.9,60.5,128.95833333333334,126.04166666666667
Cir_7_25.1_116.5,Cir,7,25.1,116.5,52.291666666666664,242.70833333333334
Cir_7_59.2_63.2,Cir,7,59.2,63.2,123.33333333333333,131.66666666666666
Cir_7_56.7_65.9,Cir,7,56.7,65.9,118.125,137.29166666666666
Cir_7_54.2_68.7,Cir,7,54.2,68.7,112.91666666666667,143.125
Cir_7_51.7_71.6,Cir,7,51.7,71.6,107.70833333333333,149.16666666666666
