Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Ctrl,5,51,Ctrl_5_185.8_166.2,185.8,166.2,387.0833333333333,346.25,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_195.3_181.5,195.3,181.5,406.875,378.125,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_202.3_151.8,202.3,151.8,421.4583333333333,316.25,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_185.7_114.4,185.7,114.4,386.875,238.33333333333334,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_241.8_155.7,241.8,155.7,503.75,324.375,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_198.7_28.8,198.7,28.8,413.9583333333333,60,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_217.1_152.7,217.1,152.7,452.2916666666667,318.125,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_211.9_146,211.9,146,441.4583333333333,304.1666666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_111.2_283.3,111.2,283.3,231.66666666666666,590.2083333333334,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_246.6_153.5,246.6,153.5,513.75,319.7916666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_123_107.1,123,107.1,256.25,223.125,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_215_159.4,215,159.4,447.9166666666667,332.0833333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_160.5_130.8,160.5,130.8,334.375,272.5,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_247.2_167.2,247.2,167.2,515,348.3333333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_126.3_289.5,126.3,289.5,263.125,603.125,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_276.6_184.1,276.6,184.1,576.25,383.5416666666667,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_192.4_190.6,192.4,190.6,400.8333333333333,397.0833333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_207.6_184.3,207.6,184.3,432.5,383.9583333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_81.9_284.6,81.9,284.6,170.625,592.9166666666666,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_160_170.9,160,170.9,333.3333333333333,356.0416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_261.2_183,261.2,183,544.1666666666666,381.25,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_180_213.2,180,213.2,375,444.1666666666667,2,ClickHighDeg,11,FALSE
